,,,,,
,U set,,Number of known algs :,,0/72
,,,"[U2] R2 D r' U2 r D' R' U2 R'
R' U2 R U R2 F' R U R U' R' F R
R' U R U R' F' R U R' U' R' F R2 U' R' U' R","R' U L' U R U' L U2 R' U R
R' U2 R U2 F U' R' U R U F'
R' U2 R U' L U2 R' U R U2 r' / L'",FALSE
,,,"[U] R U R2' D' R U R' D R2 U2 R'
[U2] R U' R' U2 R' D' r U2 r' D R
[U] R2 D R' U R D' R2' U R U2 R'
[U] R U R' U R U' R' U' R' F R U R U' R' F'","Same as the 2nd one
[U] R U R2 D' R U R' D R2 U2 R'
Same as the last one",FALSE
,,,"R U' R' U' R U2 R' U' R' D' R U2 R' D R
[U2] r U' r' U' r U r' F R' F' R U R U2 R'
R' U' R U' R' U2 R2 U' r' F R' F' r","R' U' R U' R' U2 R2 U' L' U R' U' L / r
[U2] r U' r' U' r U r' R y R U2 R' U' F'",FALSE
,,,"R U R2' D' r U2 r' D R2 U' R' U2 R U' R'
[U] R' F' R U2 R' F R2 D2 r' U r D2 R' 
R' U' R U R U R' U' R' U F R U R U' R' F' ",Same as the 1st one,FALSE
,,,[U'] R U R' U R U' R' U F' R U2 R' U2 R' F R,[U] R' U' L U' R U L' U R' U' R U' R' U R,FALSE
,,,"[U2] F R' F' R U R U' R' U' R' U' R' F R F' U R
[U2] R' D' r U2 r' D R U2 R U' R' U' R U' R'
R U R' U' R U R2 D' R U R' D R2 U R' U' R U' R'",[U'] R U' R' U' R U2 R' y' U2 R' U R U2 R' U R,FALSE
,,,"[U] R' U R' (U' D') R U' R' U2 R U' R' D R U' R
[U2] R U2 R' U R U R2' D' r U2 r' D R2 U' R'
[U2] R U R' U' R' F R U R' U2 R2 U R2 U R F'",Same as the 1st one,FALSE
,,,"r U R' U R' D' R U R' D R U r' F R F'
[U'] R U2 R2' D' R U2 R' D R2 U' R' U2 R U2 R'","[U'] R' U' R U R' U R U' L U' R' U L' R U' R' U2 R
[U'] R' U' R U R' U R U2 F R' U R U' F' R' U2 R
 L' R U R' U' L R' U' R U R U R' U' R U' R2 U2 R",FALSE
,,,"[U] R U R' U R U' R' U R U' R' U' r' F R F' M'
[U'] R' U' R U' R2 D' R U R' D F' R U R U' R' F R
R U R2' D' R U R' D R2 U' R' U R' U' R2 U' R' U R' U R","[U] R U R' U R U' R' U R U' R' U' L' U R U' R' L / r
[U] R' U2 R U R' U R F U R' U' R F' U' R' U2 R",FALSE
,,,"[U'] R U2 R D R' U2 R D' R' U2 R' U' R U' R'
f R' F' R U R U' R2' U2 R U R' U R U S'","[U2] R U' z U' R z' R' U' L R' U' R U' R' U2 R
L U' R' U L' U' R U2 R' U' R U' R' U2 R",FALSE
,,,[U'] R U' R' U R U R' U2 R' D' R U R' D R2 U R',[U'] R U' R' U R U R' U' R U R' U' R U L U' R' U L' / r',FALSE
