,,,,,,
,L set,,Number of known algs :,,0/72,
,,,"r' F R' F' r R U2 R' U R U R' U R
[U2] S R B' U' R2 U B U' R2 U R' S'
[U'] R' F' R U2 R U2 R' F R' U' R2 U' R2' U2 R","L' U R' U' R L U2 R' U R U R' U R
[U2] R' U R U2 R' z U' R D R U R U' R U",FALSE,
,,,R' U' R F U' R' U' R U F' R' U2 R,Same ,FALSE,
,,,"[U'] F R' F' R U R U' R' F U R U' R' U R U' R' F'
[U'] R' U' R U' R' U R U' R2 F' R U R U' R' F U2 R
R U R' U R U' R' U R U' R' U R2 D R' U2 R D' R2'","[U2] R U L' U R' U' L U' R U R' U2 R U2 R'
[U2] R' U' R U' R' U R F U' R' U' R U F' U R' U R",FALSE,
,,,"R' U' R U' R' U R F R' U R U' F'
R U R' U R' D' R U2 R' D R2 U' R' U R U' R'","[U] R' U' R U' R' U R U' R' U' L U' R U L' / r'
Same as the 1st one ",FALSE,
,,,[U'] R' U' R' D' R U2 R' D R U R U' R' U' R,"Same
[U2] M' U2 y R U2 R' y' U2 r' U' R ",FALSE,
,,,"[U] F' R U2 R' U2 R' F U2 R U R U' R2 U2 R
R' U R' U2 R U' R' U' R D' R U R' (U2 D) R ","L' U R' U' L U' R' U2 R' U R' U' R U2 R2
Same as the 2nd one",FALSE,
,L5: Same/Opposite,,[U'] R' U2 R' D' R U2 R' D R2,"Same
[U] z U' R2 U' L' U R2 U' L U2",FALSE,
,,,"[U'] R' U2 R' D' r U2 r' D R2
[U2] r U r' U' L U r U' r2' F r U2 L'","[U'] R U R' U2 L U' R U L' U R'
[U'] R U R' U2 L U' R U z U' R u' / D'
Same as the 1st one",FALSE,
,,,"[U2] R' U2 R U R2' D' R U R' D R2
R D r' U2 r D' R' U2 R' U' R","Same as the 2nd one
[U2] R' U2 R U R2 D' R U R' D R2",FALSE,
,,,R D R' U2 R D' R' U' R' U2 R U' R' U' R,"[U2] L U' R' U L' U' R2 U2 R' U' R U' R'
Same",FALSE,
,,,"[U'] R' D2 r U r' D2 R2 B R' U2 R B' R'
[U2] R' U' R U2 R' U' R2 D r' U2 r D' R2' U R
R U2 R U R U' R2' D R' U R D' R U R' ","R U2 F' R U R U' R' F R2 U R2 U R' 
R U2 R U R U' R2 D R' U R D' R U R'
L R U2 R' U R z U' R' U R' U' R z' R' U' R U2 R'
[U2] R U R' U R y R2 U R' U R U2 R' U R' U2 F'",FALSE,
,,,"[U'] R' U R U' R' U F' R U2 R' U2 R' F R2
[U'] R U R' U' R U' R' U r' F R F' r U' R'",[U'] R U R' U' R U' R' U L' U R U' L U' R',FALSE,
,,,"‌[U2] R' U' R U' R' U' R U2 R D r' U2 r D' R'
[U2] R U R' U' R' U' F U R U' R U' R' U R U R' F'
[U'] D' R U R' U2 R U R' (U D) R' U2 R U' R' U' R ",[U'] R U R' U2 R U R' U2 y' R' U2 R U' R' U' R,FALSE,
,,,"[U'] R' U2 R' D' R' F2 R2 U2 R2 F2 R D R2
[U2] R' U' R2 D r' U2 r D' R2 U R U R' U2 R
[U'] R' U2 R' D' R U2 R' (U' D) (F B') R2 (F' B) U' R2 ",[U'] R U' R D R' U' R U2 R' U' R (U' D') R' U R',FALSE,
,,,"[U'] R' U2 R U2 R' U' R2 D R' U2 R D' R2 U2 R
[U] F' r U R2 D R U R' D' R U2 r' F R","[U'] R U2 R' U' R L' U R' U' L U' R U R' U R U' R'
[U] R' U' R U' R U R2 U R U L U' R U L' U R'",FALSE,
,,,"[U2] F R U' R' U' R2 D R' U R D' R' U R' U' F'
[U'] F R' U' R2 U' R2' U2 R F R' F' R2 U' R' F'",[U] F U R' U' R F' R' U' R U R' U' R U R' U R,FALSE,
,,,"F' R U R' U' R' F R2 U' R' U' R U' R' U R U R'
[U2] R' U' R U' R' U2 R' D' R U2 R' D R U2 R ","R U2 R' U' R U' R' L U' R' U L' U' R
R U2 R' U' R U' R' U2 R U' z U' R z' R' U' r / L ",FALSE,
,,,"[U'] R' U R2 D R' U R D' R' U2 R' U R U R' U' R
[U'] R' U R U' R' U R U R' U' R U' R D R' U2 R D' R'","[U2] R' U2 R F U' R' U R U F' R' U' R U R' U R
[U'] L' U R' U' L U R U' R' U R U' R' U R U R' U' R
[U] f U' R2 U' R' F R' F' U' R U' R' U' f'",FALSE,
